8, 0, 40, 40, 220, 272
8, 1, 314, 304, 487, 351
8, 2, 592, 294, 705, 299
9, 0, 36, 19, 298, 285
9, 1, 332, 283, 454, 347
9, 2, 532, 317, 600, 358
9, 3, 702, 248, 925, 363
9, 4, 1088, 183, 1228, 343
10, 0, 53, 30, 139, 160
10, 1, 821, 282, 930, 365
11, 0, 11, 40, 183, 269
11, 1, 282, 159, 340, 224
11, 2, 307, 293, 495, 365
11, 3, 569, 253, 1076, 365
11, 4, 779, 174, 901, 244
12, 0, 25, 49, 140, 96
12, 1, 302, 278, 413, 360
12, 2, 398, 177, 471, 241
12, 3, 536, 177, 971, 359
13, 0, 350, 287, 436, 355
13, 1, 593, 161, 960, 355
14, 0, 28, 21, 76, 182
14, 1, 372, 319, 382, 342
14, 2, 747, 149, 937, 349
15, 0, 735, 243, 834, 347
15, 1, 764, 172, 804, 245
16, 0, 66, 137, 119, 225
16, 1, 733, 160, 864, 354
16, 2, 947, 198, 1039, 345
17, 0, 54, 131, 93, 232
17, 1, 53, 342, 69, 356
17, 2, 273, 158, 325, 209
17, 3, 365, 271, 460, 352
17, 4, 723, 174, 1125, 357
18, 0, 44, 135, 109, 238
18, 1, 286, 163, 336, 203
18, 2, 369, 328, 373, 351
18, 3, 732, 182, 850, 352
18, 4, 919, 196, 1101, 350
19, 0, 40, 145, 123, 246
19, 1, 300, 351, 463, 355
19, 2, 715, 194, 930, 353
19, 3, 1010, 207, 1139, 351
20, 0, 45, 154, 128, 253
20, 1, 579, 193, 943, 362
21, 0, 559, 297, 854, 363
21, 1, 711, 202, 904, 299
22, 0, 26, 128, 114, 246
22, 1, 692, 174, 921, 355
23, 0, 53, 110, 127, 248
23, 1, 704, 188, 944, 362
23, 2, 1003, 287, 1163, 359
24, 0, 66, 113, 119, 134
24, 1, 367, 347, 457, 357
24, 2, 684, 290, 793, 348
24, 3, 698, 190, 912, 362
24, 4, 1016, 330, 1169, 360
25, 0, 671, 312, 691, 361
25, 1, 691, 190, 994, 360
26, 0, 340, 351, 448, 360
26, 1, 655, 180, 931, 361
26, 2, 948, 213, 1020, 252
26, 3, 1096, 324, 1184, 361
27, 0, 661, 194, 893, 355
27, 1, 881, 178, 1034, 348
27, 2, 1001, 41, 1051, 69
28, 0, 635, 197, 844, 357
28, 1, 891, 174, 1063, 360
28, 2, 1042, 25, 1172, 65
29, 0, 624, 264, 722, 352
29, 1, 677, 189, 981, 359
30, 0, 647, 192, 939, 352
31, 0, 641, 266, 713, 346
31, 1, 677, 217, 932, 339
31, 2, 1137, 18, 1163, 104
31, 3, 1127, 220, 1225, 349
32, 0, 633, 222, 789, 338
32, 1, 779, 219, 864, 307
32, 2, 1167, 282, 1226, 335
32, 3, 1119, 338, 1190, 361
33, 0, 619, 196, 978, 364
33, 1, 1178, 332, 1215, 364
34, 0, 379, 267, 420, 306
34, 1, 619, 219, 778, 361
34, 2, 822, 209, 1217, 364
35, 0, 583, 200, 912, 354
35, 1, 991, 316, 1228, 364
36, 0, 406, 258, 442, 307
36, 1, 583, 196, 846, 362
36, 2, 830, 236, 953, 320
36, 3, 1106, 338, 1226, 360
37, 0, 184, 320, 229, 353
37, 1, 305, 177, 1014, 365
37, 2, 1077, 325, 1200, 364
38, 0, 552, 284, 668, 363
38, 1, 618, 198, 867, 292
38, 2, 1028, 242, 1197, 361
39, 0, 282, 266, 454, 344
39, 1, 558, 189, 857, 362
39, 2, 1071, 312, 1200, 364
39, 3, 1048, 237, 1183, 338
40, 0, 409, 199, 853, 316
40, 1, 558, 308, 635, 362
40, 2, 1103, 246, 1175, 344
41, 0, 291, 264, 487, 345
41, 1, 551, 298, 613, 361
41, 2, 578, 206, 827, 291
42, 0, 302, 290, 480, 332
42, 1, 602, 223, 816, 339
42, 2, 1047, 199, 1135, 326
43, 0, 391, 296, 585, 363
43, 1, 595, 212, 775, 318
43, 2, 1156, 286, 1194, 360
44, 0, 67, 105, 100, 217
44, 1, 314, 252, 804, 364
44, 2, 1124, 176, 1233, 362
44, 3, 1159, 50, 1225, 97
45, 0, 59, 130, 97, 216
45, 1, 262, 242, 1070, 361
45, 2, 1149, 27, 1178, 131
46, 0, 32, 33, 140, 219
46, 1, 333, 203, 768, 354
46, 2, 916, 247, 1012, 319
47, 0, 40, 136, 150, 229
47, 1, 422, 191, 715, 362
