120, 0, 50, 404, 132, 417
120, 1, 68, 359, 121, 373
120, 2, 293, 123, 326, 136
120, 3, 227, 377, 356, 421
120, 4, 566, 417, 575, 438
123, 0, 250, 403, 301, 433
123, 1, 388, 369, 455, 400
123, 2, 599, 385, 629, 412
129, 0, 26, 294, 112, 365
129, 1, 221, 323, 347, 382
135, 0, 47, 127, 69, 169
138, 0, 36, 118, 67, 168
141, 0, 21, 14, 381, 86
144, 0, 14, 22, 348, 87
144, 1, 20, 128, 71, 202
147, 0, 23, 300, 177, 358
147, 1, 16, 141, 67, 225
147, 2, 59, 17, 342, 88
147, 3, 349, 303, 401, 320
147, 4, 461, 303, 497, 332
150, 0, 12, 155, 69, 245
150, 1, 18, 18, 363, 92
150, 2, 388, 301, 485, 310
153, 0, 27, 13, 564, 101
156, 0, 21, 77, 64, 99
156, 1, 129, 14, 243, 101
159, 0, 11, 47, 66, 110
159, 1, 17, 159, 77, 229
159, 2, 184, 59, 235, 92
162, 0, 14, 33, 41, 93
165, 0, 21, 49, 67, 102
168, 0, 16, 218, 75, 277
171, 0, 20, 219, 77, 285
177, 0, 30, 165, 108, 248
177, 1, 26, 235, 56, 274
180, 0, 31, 186, 51, 256
186, 0, 29, 165, 131, 303
195, 0, 12, 46, 45, 107
195, 1, 23, 258, 93, 299
195, 2, 34, 158, 145, 251
198, 0, 15, 47, 95, 109
198, 1, 21, 179, 121, 291
204, 0, 12, 46, 33, 107
210, 0, 19, 19, 337, 114
213, 0, 27, 258, 110, 318
213, 1, 39, 182, 168, 262
213, 2, 11, 78, 117, 121
213, 3, 20, 456, 91, 463
213, 4, 16, 21, 198, 48
213, 5, 114, 75, 193, 109
213, 6, 538, 363, 625, 391
216, 0, 23, 188, 178, 323
216, 1, 37, 109, 57, 133
216, 2, 272, 30, 347, 117
219, 0, 49, 421, 253, 468
219, 1, 72, 54, 125, 90
219, 2, 338, 82, 379, 112
219, 3, 259, 27, 365, 116
219, 4, 505, 26, 583, 39
219, 5, 489, 434, 568, 458
237, 0, 28, 200, 157, 321
237, 1, 39, 111, 108, 132
237, 2, 168, 182, 207, 211
240, 0, 28, 182, 228, 322
243, 0, 28, 191, 228, 322
246, 0, 164, 271, 197, 304
249, 0, 22, 118, 73, 129
258, 0, 47, 125, 87, 136
267, 0, 20, 119, 65, 140
273, 0, 15, 69, 78, 129
276, 0, 27, 101, 78, 132
279, 0, 19, 123, 68, 134
279, 1, 88, 184, 298, 324
282, 0, 209, 125, 246, 136
285, 0, 23, 120, 92, 141
