6, 0, 891, 99, 1072, 278
6, 1, 1033, 22, 1080, 141
7, 0, 949, 112, 1130, 334
8, 0, 159, 187, 237, 277
8, 1, 905, 34, 1011, 184
8, 2, 987, 115, 1194, 279
9, 0, 53, 183, 283, 330
9, 1, 912, 226, 1003, 343
9, 2, 950, 39, 1091, 120
10, 0, 22, 121, 217, 278
10, 1, 937, 35, 1082, 124
11, 0, 70, 238, 182, 312
11, 1, 931, 24, 1089, 100
12, 0, 75, 170, 125, 356
12, 1, 854, 42, 1006, 113
12, 2, 1066, 25, 1175, 80
14, 0, 881, 32, 961, 97
15, 0, 643, 319, 829, 334
15, 1, 866, 40, 1001, 181
15, 2, 981, 73, 1150, 297
16, 0, 889, 54, 1104, 243
17, 0, 908, 20, 1188, 231
17, 1, 1006, 272, 1228, 344
18, 0, 860, 50, 1177, 222
18, 1, 1017, 17, 1081, 58
18, 2, 911, 265, 1024, 326
19, 0, 580, 307, 779, 346
19, 1, 865, 51, 1158, 221
19, 2, 1123, 316, 1197, 348
19, 3, 1017, 236, 1154, 345
19, 4, 1121, 14, 1156, 103
20, 0, 930, 43, 1067, 105
20, 1, 1025, 74, 1215, 224
20, 2, 1037, 274, 1139, 343
21, 0, 61, 344, 156, 356
21, 1, 270, 277, 784, 348
22, 0, 52, 311, 219, 361
22, 1, 646, 262, 750, 347
23, 0, 42, 292, 133, 360
23, 1, 171, 179, 794, 362
25, 0, 46, 32, 296, 240
25, 1, 82, 290, 283, 347
25, 2, 476, 285, 732, 353
25, 3, 943, 136, 1164, 341
25, 4, 974, 30, 1200, 138
26, 0, 169, 175, 279, 304
26, 1, 1004, 163, 1175, 300
27, 0, 66, 37, 242, 127
27, 1, 44, 201, 214, 340
28, 0, 121, 41, 269, 260
28, 1, 102, 300, 170, 339
28, 2, 1060, 166, 1196, 190
29, 0, 73, 11, 314, 366
29, 1, 55, 230, 175, 340
29, 2, 847, 52, 927, 110
29, 3, 1018, 186, 1144, 338
30, 0, 70, 26, 380, 351
31, 0, 45, 225, 97, 343
31, 1, 74, 23, 255, 239
32, 0, 1170, 330, 1217, 354
33, 0, 52, 50, 236, 343
33, 1, 972, 202, 1174, 285
33, 2, 908, 25, 1171, 160
33, 3, 1115, 292, 1176, 328
34, 0, 857, 25, 991, 137
34, 1, 980, 24, 1111, 107
34, 2, 1139, 229, 1194, 330
35, 0, 827, 23, 1002, 158
35, 1, 963, 33, 1071, 110
36, 0, 63, 179, 191, 351
36, 1, 947, 44, 1015, 109
37, 0, 884, 15, 1229, 183
38, 0, 990, 249, 1145, 330
38, 1, 1037, 21, 1219, 143
38, 2, 1178, 91, 1214, 178
39, 0, 920, 150, 1095, 253
39, 1, 979, 15, 1179, 150
40, 0, 990, 96, 1187, 305
40, 1, 1034, 19, 1154, 112
41, 0, 1057, 17, 1201, 91
42, 0, 105, 211, 169, 332
43, 0, 30, 156, 189, 345
43, 1, 31, 11, 268, 99
43, 2, 1063, 94, 1157, 221
44, 0, 56, 213, 108, 300
44, 1, 1062, 39, 1157, 149
45, 0, 929, 61, 1035, 264
46, 0, 848, 44, 1181, 223
46, 1, 966, 148, 1009, 263
47, 0, 892, 162, 1037, 262
47, 1, 957, 37, 1180, 188
47, 2, 1112, 219, 1159, 327
48, 0, 1032, 30, 1200, 188
48, 1, 1082, 205, 1204, 324
49, 0, 889, 19, 1181, 136
49, 1, 1001, 138, 1203, 277
50, 0, 386, 282, 585, 323
50, 1, 995, 22, 1198, 92
51, 0, 304, 275, 572, 354
51, 1, 669, 292, 878, 362
51, 2, 1015, 33, 1128, 170
52, 0, 437, 312, 625, 362
52, 1, 1060, 165, 1144, 274
53, 0, 393, 313, 617, 360
55, 0, 46, 194, 209, 324
57, 0, 168, 277, 224, 348
59, 0, 802, 105, 877, 159
60, 0, 39, 181, 129, 332
60, 1, 770, 71, 880, 159
61, 0, 34, 291, 105, 345
61, 1, 834, 108, 928, 183
62, 0, 878, 13, 1050, 229
63, 0, 111, 180, 273, 306
63, 1, 787, 108, 1161, 337
63, 2, 786, 15, 1203, 206
64, 0, 128, 208, 152, 272
64, 1, 824, 18, 1129, 137
64, 2, 953, 165, 1088, 343
64, 3, 1114, 133, 1228, 217
65, 0, 173, 195, 289, 260
65, 1, 862, 72, 1064, 242
65, 2, 950, 43, 1043, 77
65, 3, 1070, 175, 1169, 347
66, 0, 63, 77, 247, 341
66, 1, 109, 274, 127, 318
66, 2, 983, 166, 1118, 353
66, 3, 859, 69, 942, 162
66, 4, 948, 40, 1078, 178
67, 0, 98, 49, 191, 325
67, 1, 811, 23, 851, 65
67, 2, 1097, 188, 1175, 342
67, 3, 900, 67, 1032, 225
67, 4, 1026, 18, 1147, 91
67, 5, 1018, 144, 1127, 346
68, 0, 65, 48, 79, 147
68, 1, 274, 226, 333, 318
68, 2, 1090, 269, 1219, 325
68, 3, 1030, 19, 1131, 85
69, 0, 37, 26, 145, 338
69, 1, 265, 218, 398, 355
69, 2, 499, 276, 738, 354
69, 3, 1132, 143, 1184, 233
70, 0, 47, 136, 318, 299
70, 1, 526, 287, 700, 358
70, 2, 1078, 136, 1177, 316
71, 0, 112, 198, 326, 342
71, 1, 543, 321, 678, 360
72, 0, 88, 212, 378, 345
76, 0, 44, 148, 210, 324
76, 1, 824, 24, 948, 110
77, 0, 27, 188, 181, 341
78, 0, 16, 51, 203, 332
80, 0, 1073, 271, 1210, 348
81, 0, 980, 24, 1172, 295
81, 1, 1064, 303, 1190, 353
82, 0, 1004, 124, 1203, 363
83, 0, 939, 88, 1174, 343
83, 1, 1091, 22, 1179, 66
84, 0, 1039, 168, 1203, 345
85, 0, 877, 116, 1189, 304
86, 0, 957, 67, 1036, 219
86, 1, 1080, 182, 1199, 321
87, 0, 943, 192, 1216, 327
